"variable","ridge_lambda_min","lasso_lambda_min"
"(Intercept)",15.443831197812,48.378145759625
"AtBat",0.0771554743847953,-0.665696307859318
"Hits",0.859115815939879,3.71351745277965
"HmRun",0.601031063576297,0
"Runs",1.06369006736739,0
"RBI",0.879361053371413,0
"Walks",1.62444616530649,3.14734462363002
"Years",1.35254778033279,-4.65360790386722
"CAtBat",0.0113499915103999,0
"CHits",0.0574665440609397,0
"CHmRun",0.406801567085269,0.158329344613983
"CRuns",0.114562244498519,0.371496579406481
"CRBI",0.121165038074432,0.421626938871455
"CWalks",0.0529920196388892,-0.168515821770496
"LeagueN",22.091431966137,26.8039907305696
"DivisionW",-79.0403265601878,-118.644325300469
"PutOuts",0.166199027863528,0.248911328924319
"Assists",0.0294194958898915,0.0108759043591472
"Errors",-1.36092945499973,-0.69788104894128
"NewLeagueN",9.12487765463168,0
